,0
0,0.2505050599575043
1,0.41818180680274963
2,0.4060606062412262
3,0.3313131332397461
4,0.6242424249649048
5,0.38989898562431335
6,0.5898990035057068
7,0.581818163394928
8,0.6141414046287537
9,0.5959596037864685
10,0.7878788113594055
11,0.739393949508667
12,0.7636363506317139
13,0.8222222328186035
14,0.8181818127632141
15,0.713131308555603
16,0.7919191718101501
17,0.7939394116401672
18,0.6222222447395325
19,0.6909090876579285
20,0.870707094669342
21,0.8888888955116272
22,0.9111111164093018
23,0.9252524971961975
24,0.9454545378684998
25,0.9454545378684998
26,0.9595959782600403
27,0.9616161584854126
28,0.9575757384300232
29,0.9616161584854126
30,0.9717171788215637
31,0.973737359046936
32,0.9616161584854126
33,0.9878787994384766
34,0.9939393997192383
35,0.9939393997192383
36,0.9959595799446106
37,0.9979798197746277
38,0.9979798197746277
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.9858585596084595
49,0.9959595799446106
50,0.9979798197746277
51,0.9979798197746277
52,0.9979798197746277
53,0.9959595799446106
54,0.9979798197746277
55,0.9959595799446106
56,0.9939393997192383
57,1.0
58,1.0
59,0.9959595799446106
60,0.9959595799446106
61,0.9979798197746277
62,0.9979798197746277
63,1.0
64,1.0
65,1.0
66,1.0
67,0.9959595799446106
68,1.0
69,0.9979798197746277
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,0.9979798197746277
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,0.9979798197746277
112,0.9959595799446106
113,1.0
114,0.9959595799446106
115,0.9979798197746277
116,0.9959595799446106
117,1.0
118,0.9979798197746277
119,0.9858585596084595
120,0.9676767587661743
121,0.9898989796638489
122,0.9979798197746277
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,0.9979798197746277
204,0.9979798197746277
205,0.9979798197746277
206,0.9979798197746277
207,0.9979798197746277
208,0.9979798197746277
209,0.9979798197746277
210,0.9979798197746277
211,0.9979798197746277
212,0.9979798197746277
213,0.9979798197746277
214,0.9979798197746277
215,0.9979798197746277
216,0.9979798197746277
217,0.9979798197746277
218,0.9979798197746277
219,0.9979798197746277
220,1.0
221,1.0
222,1.0
223,0.9979798197746277
224,0.9979798197746277
225,0.9979798197746277
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,0.9979798197746277
233,0.9979798197746277
234,0.9979798197746277
235,0.9979798197746277
236,0.9979798197746277
237,0.9979798197746277
238,0.9979798197746277
239,0.9979798197746277
240,0.9979798197746277
241,0.9979798197746277
242,0.9979798197746277
243,0.9979798197746277
244,0.9979798197746277
245,0.9979798197746277
246,0.9979798197746277
247,0.9979798197746277
248,0.9979798197746277
249,0.9979798197746277
250,0.9979798197746277
251,0.9979798197746277
252,0.9979798197746277
253,0.9979798197746277
254,0.9979798197746277
255,0.9979798197746277
256,0.9979798197746277
257,0.9979798197746277
258,0.9979798197746277
259,0.9979798197746277
260,0.9979798197746277
261,0.9979798197746277
262,0.9979798197746277
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,0.9898989796638489
280,1.0
281,0.9818181991577148
282,1.0
283,1.0
284,0.9898989796638489
285,0.9979798197746277
286,1.0
287,0.9979798197746277
288,1.0
289,1.0
290,1.0
291,0.9979798197746277
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,1.0
365,1.0
366,1.0
367,1.0
368,1.0
369,1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
393,1.0
394,1.0
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,1.0
401,1.0
402,1.0
403,1.0
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,1.0
426,1.0
427,1.0
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,1.0
434,1.0
435,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
